url,title,text,claimYear,claimant_party,textualRating,ratingsimp,T/F RQ1,claimant_canonical_name,Fear,Self/Personal Record,Opponent/Opponent's Record,Legislation,National and State Macroeconomic Issues,Economic Well-Being and Domestic Commerce,Labor and Employment,Foreign Trade,Taxes,"Civil Rights, Minority Issues, and Civil Liberties",Immigration and Refugee Issues,LGBTQ,Race,Religion,Women,Health (non-care),Social Welfare,Education,Abortion,Healthcare,Government Operations,Defense/Military,International_affairs and Foreign Aid,Voting/Elections,Agriculture,Environment,Energy,Transportation,Community Development and Housing,Technology Science Space,Media and Communications,Law and Crime and Policing,Terrorism,Guns,History,Record/Candidate Biography/ Campaigns and Personal Behavior
https://www.politifact.com/factchecks/2018/aug/30/tony-evers/tony-evers-cherry-picks-old-statistic-claiming-wis/,Tony Evers cherry picks an old statistic in claiming Wisconsin infrastructure near-worst,Another thing that’s a Wisconsin value is infrastructure; whether it’s roads or bridges...we are 49th out of 50 states in infrastructure.',2018,Democratic,FALSE,2 False,False(ish),Tony Evers,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
http://www.politifact.com/factchecks/2017/mar/12/tom-price/tom-price-undercounts-obamacare-impact-getting-mor/,Tom Price undercounts Obamacare impact on getting more Americans insured,The number of individuals who actually got coverage through the exchange who didn't have coverage before; or who weren't eligible for Medicaid before is relatively small. So we've turned things upside down completely for 3 million; or 4 million; or 5 million individuals.',2016,Republican,FALSE,2 False,False(ish),Tom Price (American politician),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
http://www.politifact.com/factchecks/2018/feb/07/travis-allen/travis-allen-repeats-false-claim-californians-over/,Travis Allen gets it wrong; again; on support for California's sanctuary state law,Californians are overwhelmingly against this concept of the illegal sanctuary state.',2018,Republican,FALSE,2 False,False(ish),Travis Allen,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://www.politifact.com/factchecks/2018/nov/05/patrick-morrisey/did-joe-manchin-support-obama-and-clinton-efforts-/,Did Joe Manchin support Obama and Clinton efforts to kill coal jobs?,Says Joe Manchin 'supported Obama and Clinton's campaigns to kill coal jobs.',2018,Republican,FALSE,2 False,False(ish),Patrick Morrisey,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
https://www.politifact.com/factchecks/2021/jan/25/glenn-grothman/no-democrats-are-not-eliminating-right-americans-c/,No; Democrats are not eliminating the right of Americans to call parents mom and dad,A majority of Americans have voted for a party that … wants a world in which you cannot call your parents mom and dad.',2021,Republican,FALSE,2 False,False(ish),Glenn Grothman,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
http://www.politifact.com/factchecks/2016/dec/28/lloyd-doggett/lloyd-doggett-says-federal-law-universities-dont-c/,Lloyd Doggett says by federal law; universities don't check immigration status of students,Our university campuses by federal law do not check the immigration status of their students just as our public schools don’t.',2016,Democratic,Mostly False,3 Mostly False,False(ish),Lloyd Doggett,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
http://www.politifact.com/factchecks/2018/feb/16/bobbie-richardson/nc-democrat-says-trumps-cutting-cdc-budget-80-perc/,NC Democrat says Trump is cutting the CDC budget by 80 percent,The president is cutting the CDC budget by 80%.',2018,Democratic,FALSE,2 False,False(ish),Bobbie Richardson,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
http://www.politifact.com/factchecks/2018/may/02/ted-cruz/ted-cruz-falsely-beto-orourke-legalize-narcotics-a/,Ted Cruz falsely says Beto O'Rourke once resolved to legalize all narcotics,Says Beto O’Rourke had a 'resolution to legalize all narcotics--including heroin and other deadly opioids.',2018,Republican,FALSE,2 False,False(ish),Ted Cruz,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
https://www.politifact.com/factchecks/2018/jul/26/bill-nelson/bill-nelson-claims-detained-immigrant-parents-char/,Bill Nelson claims detained immigrant parents charged $8/minute to call their children. Is it true?,Says detained immigrant parents separated from their children at the border are being charged 'as much as $8 dollars a minute to call their children.',2018,Democratic,Mostly False,3 Mostly False,False(ish),Bill Nelson,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://www.politifact.com/factchecks/2020/sep/21/joe-biden/biden-wrong-say-supreme-court-has-no-session-elect/,Biden wrong to say Supreme Court has no session before Election Day,There's no court session between now and the end of this election.',2020,Democratic,FALSE,2 False,False(ish),Joe Biden,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
